Tara,Partitie_Optima,Silhouette_Partitie_Optima,Partitie_4,Silhouette_Partitie_4
Sudan,C1,0.258533715391365,C3,0.3753811824608018
Suriname,C2,0.4267534029526654,C2,0.3831575954481167
Swaziland,C1,0.35071663574498707,C1,0.32245055311563164
Sweden,C2,0.6734283992880158,C4,0.7520360683352807
Switzerland,C2,0.6605127401609266,C4,0.7601997143190784
Syrian Arab Republic,C2,0.6069530678529637,C2,0.447009738991258
Tajikistan,C1,0.07621659372076459,C3,0.21582579217660455
Thailand,C2,0.4899580816059154,C2,0.05226711240765962
The former Yugoslav Republic of Macedonia,C2,0.5205723324419935,C2,0.44120488537998487
Timor-Leste,C1,0.2665729954789495,C1,-0.07967165738876301
Togo,C1,0.4179437752783016,C3,0.09613764818992032
Tonga,C2,0.6161666387135535,C2,0.4016999705920522
Trinidad and Tobago,C2,0.5827291517520837,C2,0.46215771374374104
Tunisia,C2,0.6244717269784331,C2,0.41334769262129045
Turkey,C2,0.4624564330831917,C2,0.39043315053724104
Turkmenistan,C1,0.14075371355461946,C3,0.2320924793137299
Tuvalu,C1,0.24844284641286316,C3,0.31564871726215965
Uganda,C1,0.44828938583651123,C1,0.43290002590800464
Ukraine,C1,0.0313547636237165,C3,0.19421189029140212
United Arab Emirates,C2,0.6594798010689045,C2,-0.006864143857815866
United Kingdom,C2,0.6888743008986997,C4,0.7849612825896247
United Republic of Tanzania,C1,0.4867378375271205,C1,0.44599576993381534
United States of America,C2,0.6991310327913335,C4,0.7376989955038327
Uruguay,C2,0.6902805755827506,C4,0.5464359784336762
Uzbekistan,C1,-0.1469056126379186,C3,0.022634870350136324
Vanuatu,C2,0.5347393061716111,C2,0.5066655806837499
Venezuela,C2,0.6938802136079307,C2,-0.3403143695798584
Viet Nam,C2,0.5376406994741902,C2,0.27507863175038666
Yemen,C1,-0.045669580124037386,C3,0.14064664544481173
Zambia,C1,0.3824479194613854,C1,0.39954389064185414
Zimbabwe,C1,0.3570019031364855,C1,0.37081252506647316
