,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22
Bulgarians,0.03776480693215147,0.09198043404682336,0.07324488223215185,0.055505101130461726,0.00018924487439700804,0.02624223350062302,0.02048809235851984,0.0003176077185346816,0.012145922143939234,0.4052688886619672,0.17731844671477648,0.09818076753089902,3.122273289258819e-05,0.0006555090735168931,0.0006485664258905788,7.400461549144272e-06,1.847640659696959e-06,8.630767612307785e-06,2.6008114464734593e-09,3.204595275449326e-07,6.175936339039511e-09,6.581635852692329e-08
Croats,0.00019359122814313406,0.0019467095800930706,0.0020753378281193145,0.05105407110385592,0.22853086292179722,0.7053998681082885,0.002641826037725139,0.0001252753684843372,0.004836912777969802,0.0009089869619696817,0.0004845082566094341,0.0017532740042373218,5.331574194791308e-07,1.5760462586286088e-05,5.08903638021582e-06,1.8579041591493088e-06,4.570080788878772e-06,1.4736510965360427e-05,4.201716163338883e-07,1.7888855929297256e-06,2.9595155551389227e-06,1.060097643063917e-06
Greeks,0.4607771607880598,0.013344644625504904,0.010942374636900731,0.004474910217355197,0.00010603639544451662,0.0003532059120260428,0.0003166605667345709,0.005895474532401926,0.018343860286409476,0.0008953830243194175,0.0003907925284722715,0.0003865457202781492,0.4754270729457553,0.007595180416172164,4.437219622346985e-06,1.0313220911995339e-05,0.0005902070668605667,0.00011886288224450449,9.52082270600225e-06,1.5769421034526604e-05,1.578103286719289e-06,8.667498783725773e-09
Italians,0.7857712166027722,0.09122512250107956,5.203210434724789e-05,0.006365933933195771,3.7389037538184954e-06,7.589694419155131e-05,0.0003770947346393817,0.0001294969171580737,7.493858761124504e-05,0.00023952330829899468,0.00033395850769402547,0.009050465402499654,0.0012121119499348754,0.001226265692234148,0.01967869898514415,0.019860261259909043,0.02528389093287269,0.03745619564168485,0.00014363120877334396,0.0012434486852096506,2.9496692772277316e-05,0.00016658050422357882
Jews,0.8847312788541662,0.011083529090198897,0.06851205566023295,8.564865549575437e-05,0.00017624328442522396,8.370447466621911e-06,0.00019458042392706494,0.00015483537010445214,0.002652070378581519,0.0001043170536067568,0.0002736226160044745,6.7527055060108785e-06,0.0022287049795414603,0.012337816154981187,0.00010177767045199438,0.003512017719723558,5.293971631294622e-05,0.0039798027384139074,0.00020353933184961046,0.0032636991642879167,0.0003536213427287232,0.005982776641992934
Czechs,0.014439234119986495,0.06904063508936921,0.06830937258144593,0.15559821744244032,0.00856128461214009,0.015641849379790327,0.19706287610353534,0.0043966749760842114,0.06637039217139798,0.2593391827013348,0.051064754799581565,0.08790933916381714,3.8050719686415636e-05,5.40992386690802e-05,0.002158030148153217,1.4750432447663243e-05,7.578350205624485e-09,3.928986852304726e-07,5.307270181264371e-09,2.1159473932835652e-07,5.750705944223511e-07,6.387048077377289e-08
Poles,0.03633421894024077,0.0031338111264035936,0.0017451970217844067,0.010816496252938738,0.06176696354640795,0.00780947993526259,0.0053943898982054105,0.836052282986212,0.028088847751767846,0.004358995760313287,0.0022842119736430342,0.0016660771351837257,0.00017662030188838598,0.0003185888957627513,5.05380185678058e-05,5.68233273289125e-07,1.5511065157745388e-07,2.350703179668718e-06,4.364687467790249e-08,2.1032826817532065e-08,1.4172314468563923e-07,5.466985981105844e-12
Chinese,0.733808760645026,3.448399024832871e-06,0.11708037317828658,0.00807276587863283,0.000577219735085701,0.0005272700140035815,0.001529335179360472,9.629779200235804e-05,0.006103965544337661,0.002314117608377204,0.0040675624516566386,0.0008533523155470418,0.007692346133051595,0.027125995879116006,0.005017076658840696,0.004213166659804706,0.05861842756403689,0.019492422069716745,0.0008664741631161692,0.0019236369670950922,6.1777916999624615e-06,9.807372181358968e-06
Armenians,0.8933218165189395,0.0476882919173681,0.008563184137879683,0.001683460159617074,0.00012295277756996446,5.072071487973513e-05,0.000580046371910137,4.691934657913461e-06,0.004084447599839745,0.0007519005500039718,0.0006103293418360603,0.0002717898443068495,0.003270484694013511,0.008077254292583973,0.0020769326282605023,0.0033762357590467296,0.0009839222842538704,0.004794322116669233,2.0564454255755656e-05,0.0018701886307157284,0.01739919275586889,0.00039727051552305856
Csango,0.08447681585545508,0.08157515982662153,0.1509862902874429,0.002357624922190115,0.0003315578112692054,0.0009646474987385907,0.06014947943119838,2.2812165350221926e-05,0.008205129777082307,0.0025479879998955377,0.4009951428399152,0.20599772077528755,0.0006684048864267296,0.0005833128825751109,9.553223003342294e-05,2.0393159692378603e-05,1.6873351809724472e-05,6.983000964582452e-07,5.995611404803927e-07,3.519772500991135e-06,3.4707135765639956e-10,2.9631820659417355e-07
Macedonians,0.5703068054128357,0.24063799179646553,0.07683565881958544,0.0001324110384619845,5.4382262608983464e-05,5.25586693648968e-06,0.00015343255360372908,5.017554116710809e-05,0.0014849670688562365,0.0003277713659031023,1.3272959341418201e-05,6.67128087144053e-05,0.0009751441241189527,0.002529541290238837,0.003071792754409768,0.07581622729531315,0.01965164490311397,0.0018579679245092425,0.003743239497358014,5.587193142123678e-05,0.0021752470843022695,5.448570073452736e-05
Another,0.8940187299053046,0.007949185714416428,0.04760382707470946,0.0007107087185625888,0.00042289024016660604,0.00014930830520215287,1.8774431604033393e-05,0.00011406943255741393,0.002963026906615148,0.0002272295559146722,0.000574852356881496,8.662346849767968e-05,0.0014628999282977693,0.013182705555626823,0.001111219860357232,0.002095465145552716,4.825788462880073e-06,0.014249554728496778,0.0007345542907084925,0.0024913532779031185,0.006976635796175317,0.0028515595179868266
